"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107","Переход на страницу ""Личный кабинет"" авторизованным пользователем по клику на ""Личный кабинет""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","8382","При создании нового заказа счётчик ""Выполнено за всё время"" увеличивается,","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","1772","Всплывающее окно ингредиента закрывается по клику на крестик","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1658","Клик по кнопке показать/скрыть пароль делает поле ""Пароль"" активным","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_recover_password","",""
"","1563","Клик по кнопке показать/скрыть пароль делает поле ""Пароль"" активным","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_recover_password","",""
"","1259","По клику на заказ, открывается всплывающее окно заказа","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","8891","При создании нового заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","1070","По клику на ингредиент появляется всплывающее окно ингредиента с деталями","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","248","Переход на страницу ""История заказов"" по клику на ""История заказов""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","583","Переход на страницу ""Личный кабинет"" авторизованным пользователем по клику на ""Личный кабинет""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","1152","Переход на главную по клику на ""Конструктор""","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1561","Ввод почты и клик на кнопку ""Восстановить"" открывают страницу для ввода нового пароля","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_recover_password","",""
"","1032","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","7354","При создании нового заказа счётчик ""Выполнено за всё время"" увеличивается,","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","3097","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","1005","Переход на главную по клику на ""Конструктор""","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","747","Залогиненный пользователь может оформить заказ","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1118","По клику на ингредиент появляется всплывающее окно ингредиента с деталями","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1658","Выход из аккаунта по клику на ""Выход""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","998","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_recover_password","",""
"","1665","Ввод почты и клик на кнопку ""Восстановить"" открывают страницу для ввода нового пароля","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_recover_password","",""
"","1141","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","732","Переход на страницу ""История заказов"" по клику на ""История заказов""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","947","Переход на страницу ""Авторизация"" неавторизованным пользователем по клику на ""Личный кабинет""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","1327","После оформления заказа его номер появляется в разделе ""В работе""","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","3206","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","906","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_recover_password","",""
"","804","Залогиненный пользователь может оформить заказ","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1038","Переход на ленту заказов по клику на ""Лента заказов""","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","7892","При создании нового заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","1637","Всплывающее окно ингредиента закрывается по клику на крестик","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1696","Выход из аккаунта по клику на ""Выход""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","1210","Переход на ленту заказов по клику на ""Лента заказов""","tests","2025-11-05","passed","2025-11-05","TestBasicFunc","test_basic_func","",""
"","1212","По клику на заказ, открывается всплывающее окно заказа","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
"","1253","Переход на страницу ""Авторизация"" неавторизованным пользователем по клику на ""Личный кабинет""","tests","2025-11-05","passed","2025-11-05","TestRecoverPassword","test_personal_account","",""
"","1326","После оформления заказа его номер появляется в разделе ""В работе""","tests","2025-11-05","passed","2025-11-05","TestOrdersFeed","test_orders_feed","",""
